0 1 2
1089608184073879552 150 5804
1089589687897939969 0 91
1089261994136416256 0 797
1089259355805896706 11249 115935
1089220307246665728 76 2506
1089217280049729536 4114 0
1089217166509916161 1 21
1088950936670633985 11 710
1088950484650479616 182 9209
1088883158982905856 163197 0
1088879155855294464 0 172
1088868189495189504 13 751
1088860190663790592 6466 49711
1088552419842084864 0 33
1088550291694223360 6218 0
1088513633804419072 17 3133
1088511829330939904 49080 277795
1088268684001308673 40 1264
1088254535150100480 148 1198
1088243489530273792 11453 121131
1088230765844811776 0 2
1088207822859325440 48 2018
1088195647847596032 5 1046
1088081252148637703 0 109
1087925707458691073 0 11
1087786841233752064 0 26
1087757339673821184 13823 111252
1087756417639931904 0 11
1087530189569945600 6543 82333
1087453836522840064 35 315
1087417709367685126 128 4920
1087396408678727680 3 771
1087395268448808960 11654 108202
1087224945040515074 40 3208
1087137839198793728 2 89
1086778233851265027 1 543
1086776559761936384 11980 104889
1086764384691544064 7 450
1086699329882972160 447 28357
1086353561154244608 5 1107
1086353055560298497 11 1430
1086352043109806080 5252 42135
1086320847629864961 112 6840
1086302146746695680 96 8071
1086103865873727489 386 0
1086077802040897536 0 9
1086072135557165057 13126 122071
1085978833868578816 35 5211
1085703913146208256 15609 147598
1085643175245492224 0 27
1085620915663060992 1 140
1085585647698497536 9550 108775
1085581734538661889 178 4766
1085577526016012288 0 0
1085356726323298304 14 1337
1085339385673863168 15959 113472
1085279323148345344 0 49
1085277584789663744 0 4
1085276102728273920 253 0
1085019705360949248 2 896
1084992852629819393 13 3944
1084992714784063488 2 1524
1084990509834211328 10 3670
1084988310831931392 4205 106848
1084675414604333056 55 2020
1084627999574687744 0 40
1084558075229552641 0 1
1084258540821381121 0 195
1084209884755841024 24266 189091
1084134830261059585 1 216
1083929929006354433 1 31
1083848440050790401 4 219
1083841960270594048 36 1014
1083791773028237313 67 2761
1083788970750816258 9 1267
1083788293307854848 6006 41230
1083782420854378498 31 1057
1083759168199249920 0 155
1083583446788816896 15 1736
1083532161498648583 13309 122648
1083523740972056576 53 2063
1083468604958539779 0 266
1083157979090898945 1 95
1083155000635940864 5 420
1083092518915530755 84639 524345
1083022140532838401 1 15
1082813951426154496 52 3450
1082809073370910720 23033 142566
1082691458946207745 2 471
1082691215223672832 8186 90223
1082444882214641664 19 2865
1082443095885647872 0 16
1082443003208392704 13 1488
1082442599368216577 8382 90091
1082322651371261953 0 5
1082304923692351490 0 9
1082098518142173185 3 10
1082096879737950209 7903 95498
1082052933166993409 2 95
1082017434821976064 1 24
1081993017521856515 0 7
1081764308906840064 1 27
1081763760027697159 0 105
1081763715102449664 417 0
1081672447794049025 50 1651
1081666154589011969 42 2449
1081664831810342912 9641 104303
1081645109442211840 0 2
1081585142425104384 0 2
1081333645489647616 0 7
1081333485623828481 0 41
1081280671950225408 0 13
1081265794657468418 1 400
1081255238819106816 0 16
1081243783579222016 4542 43223
1081234216900354051 0 26
1081226911366418433 23 317
1080977541035409408 1 14
1080977266547585025 12251 122195
1080926059711918089 0 2
1080909484828942336 0 3
1080885025502121984 0 24
1080861855407575040 0 10
1080859035648344064 392 0
1080674779441610754 0 76
1080674612474712064 29477 0
1080630978199146496 97 1823
1080630021256081408 22745 173486
1080618914827128837 89 5947
1080595037988290560 0 6
1080547050796863489 2 231
1080546550655475712 29 3089
1080514143109697536 2 15
1080474593410859009 0 30
1080473470344007681 0 1
1080301787222081538 31 3541
1080301549090471941 520 0
1080301064237318144 6 1418
1080300391722569728 2 446
1080299306928824320 2297 44155
1080246649631531011 3 143
1080246434425909254 1 16
1080244832772243456 1 76
1080244584540786695 171 5769
1080161436146548736 11 1579
1080156406727217157 4 105
1080155784019935237 1497 26141
1080128608142835712 0 145
1079928055831896066 3 167
1079857988863705089 0 3
1079836398654554115 8 917
1079832105666908160 0 93
1079831735100162049 414 9344
1079815312319627265 176133 404308
1079790941949624320 0 25
1079784909898739712 10 1419
1079750700991737856 0 61
1079558378349838336 3851 60906
1079488756967718912 36 2608
1079486211767656449 8 2045
1079483057009246209 5 641
1079482806366027777 5277 66763
1079408958958456832 0 2
1079140655631400961 0 453
1079138809588137986 6681 83492
1079116672135561216 1 5
1079100156958646272 1 4
1079100013735788544 0 8
1078845917984407552 1 17
1078715542406643712 9 56
1078708962885861377 22 2545
1078699758418644992 75 1784
1078697340960149505 4606 52682
1078678847980216320 0 4
1078462735212572677 0 22
1078007085848240129 0 130
1077988498597134343 1408 16891
1077979079570272261 0 90
1077976428187131904 91 5187
1077764922698797057 4029 54560
1077752281779572737 2 414
1077751891348676608 1 353
1077751671181266944 4681 57882
1077740758499774464 1 504
1077737559772540929 17867 150199
1077725683391049729 1 329
1077724456469049345 5487 51588
1077721478072844288 0 9
1077704424066306049 2517 42938
1077692211893014530 3683 51013
1077672126042247169 5447 51672
1077653968292061184 1 535
1077653470621126657 2 37
1077651903763398657 11567 95167
1077631668922601472 2 149
1077629621699526656 13 501
1077629391163846657 4761 48370
1077623715284860930 0 44
1077620410848546817 10 2139
1077613537139265538 4 382
1077611286685454336 6780 63345
1077596144925065216 14977 123294
1077580665967792133 5669 61065
1077553719351353347 0 4
1077331759967150087 0 36
1077331558904811523 174 8300
1077330909169418240 0 30
1077291612408029184 13 2425
1077257543381078016 0 79
1077231664554749952 1 32
1077006085532368897 23153 154820
1077001149008539648 6 592
1076993213452427266 0 7
1076993174009192450 0 12
1076989449446346754 0 127
1076985046739886080 2 340
1076983855037468682 1 337
1076979009857208320 0 432
1076977933422682114 4 1009
1076976410571489280 5 899
1076922513551253505 0 8
1076916416941617157 14 686
1076916148204126208 0 5
1076887447995334656 0 42
1076627012553502721 4 582
1076626657237258245 5 813
1076626364046999553 8379 99418
1076559527015780352 62457 0
1076509756796346368 22 1476
1076501977209683968 9 1591
1076191729974476800 34580 265181
1076153099428003841 18 984
1075893646245937152 2 350
1075888905608679424 3 502
1075812419866411008 0 15
1075799336339025921 10416 86801
1075785560332124160 0 71
1075740221558456320 1 11
1075539658656894978 19 185
1075512170497171456 0 4
1075473302846623744 0 3
1075470221635403776 0 10
1075431242735210496 11 548
1075410023327690752 6 320
1075194197181952000 11614 100346
1075181789919019008 0 2
